mesh_name;object_name;triangle_index;material_name;v0_x;v0_y;v0_z;v1_x;v1_y;v1_z;v2_x;v2_y;v2_z;normal;diffuse_color;specular_color;kd;ks;shininess
Sphere;Sphere;428;sphere_reflective;2.409880;1.490393;-0.037329;2.500000;1.500000;-0.000000;2.418894;1.490393;-0.054193;(-0.086854, 0.995139, -0.046425);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;429;sphere_reflective;2.500000;0.500000;-0.000000;2.409880;0.509607;-0.037329;2.418894;0.509607;-0.054193;(-0.086854, -0.995139, -0.046425);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;430;sphere_reflective;2.046937;0.902455;-0.187665;2.084266;1.000000;-0.277785;2.092254;0.902455;-0.272448;(-0.877717, -0.097545, -0.469145);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;431;sphere_reflective;2.323223;1.461940;-0.073223;2.418894;1.490393;-0.054193;2.340905;1.461940;-0.106304;(-0.257143, 0.956549, -0.137445);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;432;sphere_reflective;2.340905;0.538060;-0.106304;2.303576;0.584265;-0.196424;2.364701;0.538060;-0.135299;(-0.365760, -0.880973, -0.300177);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;433;sphere_reflective;2.092254;1.097545;-0.272448;2.173359;1.191342;-0.326641;2.153240;1.097545;-0.346760;(-0.740027, 0.289000, -0.607322);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;434;sphere_reflective;2.340905;0.538060;-0.106304;2.431025;0.509607;-0.068975;2.418894;0.509607;-0.054193;(-0.225389, -0.956549, -0.184968);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;435;sphere_reflective;2.092254;1.097545;-0.272448;2.146447;1.000000;-0.353553;2.084266;1.000000;-0.277785;(-0.769325, 0.097544, -0.631367);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;436;sphere_reflective;2.418894;1.490393;-0.054193;2.500000;1.500000;-0.000000;2.431025;1.490393;-0.068975;(-0.076129, 0.995139, -0.062476);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;437;sphere_reflective;2.500000;0.500000;-0.000000;2.418894;0.509607;-0.054193;2.431025;0.509607;-0.068975;(-0.076129, -0.995139, -0.062476);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;438;sphere_reflective;2.092254;0.902455;-0.272448;2.146447;1.000000;-0.353553;2.153240;0.902455;-0.346760;(-0.769326, -0.097544, -0.631366);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;439;sphere_reflective;2.340905;1.461940;-0.106304;2.431025;1.490393;-0.068975;2.364701;1.461940;-0.135299;(-0.225386, 0.956549, -0.184973);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;440;sphere_reflective;2.092254;0.902455;-0.272448;2.173359;0.808658;-0.326641;2.115911;0.808658;-0.256640;(-0.740027, -0.289000, -0.607321);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;441;sphere_reflective;2.269030;1.415735;-0.154329;2.364701;1.461940;-0.135299;2.303576;1.415735;-0.196424;(-0.365765, 0.880973, -0.300171);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;442;sphere_reflective;2.154329;0.722215;-0.230970;2.173359;0.808658;-0.326641;2.206031;0.722215;-0.293969;(-0.682461, -0.469632, -0.560082);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
